sentence,theme,notes
"Ronaldo ti de, o ya gbé Manchester United sẹhin.",sport,
"Tunde, bọ́wá lọ ọdẹ-ọdẹ, o ti ṣe training fun rugby?",sport,
Basketball game ni Surulere lagbara gan.,sport,
"Kemi, ṣe o ri iwaye ti LeBron James ṣe lana?",sport,
"O ga ju, Messi ti lo si PSG lati Barcelona.",sport,
"Amaka, bẹẹni, na Naija Bet ni mo n lo fun sports betting.",sport,
"Omo, na so dem tackle Chidi for that football match for Ibadan.",sport,
"Bola, ṣe o ti gba tiketi fun game ni National Stadium?",sport,
Cricket team ti LASU ko wọn lọ si wickets.,sport,
"Ni NBA, Golden State Warriors jẹ́ ọmọ ogun ti o dara.",sport,
"Tunde, o ya lo si OAU hospital, o ti ni symptoms ti malaria.",health,
"Iya Kemi, se o ti gba vaccine Covid-19 ni LASUTH?",health,
Mo n lo si pharmacy Ibadan lati gba awọn oogun ti doctor fun mi.,health,
"Chidi, e jọọ, ma se workouts yii ni gym Lagos lọdun yii.",health,
"Bola, se o ti ri results ti blood pressure check e ni UNILAG health centre?",health,
Mo n lo si Zenith pharmacy Kano lati ra awọn drugs ti typhoid.,health,
"Oga Deji, se o ti gba awọn agbo traditional fun diabetes?",health,
Mo ti wa ni waiting room GTBank hospital fun awọn wakati mejila.,health,
"Omo Tolu, ma se igbese workout ẹ ni gym, o le pọju si arun heart.",health,
"Tunde, se Opay ti debit ọwọ́ re fun owo ti mo ranse?",finance,
"Gbenga, se o ti gba loan lati GTBank fun business wa?",finance,
"Tunde, o wa ni kitchen naa, e jowo, help mi se ewa agoyin.",general,
Amaka ati Chidi ma n lo church together ni every Sunday.,general,
Mo ti gbo pe Aunty Kemi lo n sew ankara fun iyawo e.,general,
"Bola, e ma forget, a ma need lati plan for the wedding in Lagos.",general,
"Baba mi ni UNILAG professor, o ni pe a ma n name baby ni Friday.",general,
"Chidi, a ma n watch Big Brother Naija together ni living room.",general,
Kemi ati Tunde ma n argue over remote control fun DSTV.,general,
"Omo Ibadan yi, a ma n gossip about everything happening ni area wa.",general,
"E jowo, Bola, e help mi naa, mo ni lati cook jollof for the party in Abuja.",general,
"Aunty Amaka ti wole, o ni pe a ma n go mosque ni Ibadan tomorrow.",general,
"Tunde, se e ti se biology practical yin ti won pe ni dissection?",school_subjects,
"Mathematics homework mi ti Ibadan ni mo ti gbe de, Bola.",school_subjects,
"Se awon theories ti awon onimo psychology so fun yin lori human behaviour make sense, Amaka?",school_subjects,
Mi o ni ileri pe chemistry experiments ti UNILAG yoo da lara ju.,school_subjects,
"Kemi, se history lesson ti a ko ni school lehin Nigeria fun yin?",school_subjects,
"Chidi, se o le je ki a wo literature comprehension passage yi fun mi?",school_subjects,
"Physics problem yi ti pa mi, Tolu, ejo e fun mi ni iranlowo.",school_subjects,
"Geography field trip wa to Lagos Lagoon yoo dun gan, Femi.",school_subjects,
"Ayo, se o ti se mathematics formulas ti Mr. Ade gbe wa?",school_subjects,
"Omo, history class ti a ni lori Nigeria ni Zenith High School dun gan.",school_subjects,
